ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
BR-0218,small_airport,Goiatins Airstrip,,SA,BR,BR-TO,Goiatins,,,,,"-7.707254, -47.330409"
BR-0219,small_airport,Arapoema Airstrip,,SA,BR,BR-TO,Arapoema,,,,,"-7.645339, -49.058384"
BR-0220,small_airport,Avelino Remor Airstrip,676,SA,BR,BR-PA,Rio Maria,,,SD7W,PA0273,"-7.301063, -50.049915"
BR-0221,small_airport,Aragominas Airstrip,,SA,BR,BR-TO,Aragominas,,,,,"-7.170034, -48.533374"
BR-0222,small_airport,Wanderlândia Airstrip,,SA,BR,BR-TO,Wanderlândia,,,,,"-6.823287, -47.978165"
BR-0223,small_airport,Piraquê Airstrip,,SA,BR,BR-TO,Piraquê,,,,,"-6.782418, -48.289209"
BR-0224,small_airport,Xambioá Airstrip,,SA,BR,BR-TO,Xambioá,,,,,"-6.418838, -48.550643"
BR-0225,small_airport,Ananás Airstrip,,SA,BR,BR-TO,Ananás,,,,,"-6.341518, -48.073813"
BR-0226,small_airport,Arinos Airstrip,,SA,BR,BR-MG,Arinos,,,,,"-15.890444, -46.099357"
BR-0227,small_airport,Fazenda Panambi Airstrip,3025,SA,BR,BR-MG,Buritis,,,SNLC,MG0307,"-15.823305, -46.465488"
BR-0228,small_airport,Fazenda Triunfo Airstrip,,SA,BR,BR-MG,,,,,,"-15.68727, -44.476848"
BR-0229,small_airport,Jaíba Airstrip,,SA,BR,BR-MG,Jaíba,,,,,"-15.334222, -43.689039"
BR-0230,small_airport,Montezuma Airport,,SA,BR,BR-MG,Montezuma,,,,,"-15.177854, -42.507661"
BR-0231,small_airport,Cachoeira da Prata Airstrip,,SA,BR,BR-MG,,,,,,"-15.361892, -42.371236"
BR-0232,small_airport,Vargem Grande do Rio Pardo Airstrip,,SA,BR,BR-MG,Vargem Grande do Rio Pardo,,,,,"-15.361532, -42.21974"
BR-0233,small_airport,Trajanópolis Airstrip,,SA,BR,BR-GO,Trajanópolis,,,,,"-15.255545, -48.277789"
BR-0234,small_airport,Jalles Machado Airstrip,,SA,BR,BR-GO,,,,,,"-15.083994, -49.294977"
BR-0235,small_airport,Juscelândia Airstrip,,SA,BR,BR-GO,Juscelândia,,,,,"-15.117624, -49.31236"
BR-0236,small_airport,Simplício Mendes Airstrip,,SA,BR,BR-PI,Simplício Mendes,,,,,"-7.823368, -41.958934"
BR-0237,small_airport,Jaicós Airstrip,,SA,BR,BR-PI,Jaicós,,,,,"-7.342569, -41.141514"
BR-0238,small_airport,Valença do Piauí Airport,1148,SA,BR,BR-PI,Valença do Piauí,,,SDKE,PI0073,"-6.388103, -41.763983"
BR-0239,small_airport,Canavieira Airstrip,,SA,BR,BR-PI,Canavieira,,,,,"-7.68378, -43.71091"
BR-0240,small_airport,Mirador Airstrip,,SA,BR,BR-MA,Mirador,,,,,"-6.36777, -44.347317"
BR-0241,small_airport,Pedro II Airstrip,,SA,BR,BR-PI,Pedro II,,,,,"-4.431367, -41.434319"
BR-0242,closed,Ipu Airstrip,760,SA,BR,BR-CE,Ipu,,,,,"-4.299787, -40.677053"
BR-0243,small_airport,Canindé Airstrip,,SA,BR,BR-CE,Canindé,,,,,"-4.324935, -39.250419"
BR-0244,small_airport,Solonópole Airstrip,,SA,BR,BR-CE,Solonópole,,,,,"-5.713798, -39.00966"
BR-0245,small_airport,Independência Airport,,SA,BR,BR-CE,Independência,,,,,"-5.376942, -40.29623"
BR-0246,small_airport,Jaguaribe Airstrip,,SA,BR,BR-CE,Jaguaribe,,,,,"-5.854545, -38.573393"
BR-0247,small_airport,Pau dos Ferros Airport,2615,SA,BR,BR-RN,Pau dos Ferros,,,SSKJ,RN0012,"-6.154339, -38.196588"
BR-0248,small_airport,Caraúbas Airstrip,,SA,BR,BR-RN,Caraúbas,,,,,"-5.777501, -37.552745"
BR-0249,small_airport,Luís Antônio Fontenele - Cocal da Estação Airport,482,SA,BR,BR-PI,Cocal,,,SSKE,PI0053,"-3.455071, -41.604942"
BR-0250,small_airport,Fazenda Providência Airport,640,SA,BR,BR-MT,Rodolândia,,,,,"-10.114436, -61.391242"
BR-0251,small_airport,Fazenda Pertinho do Céu Airport,2152,SA,BR,BR-MT,Guiratinga,,,SDFE,MT0035,"-16.474263, -53.911738"
BR-0252,small_airport,Fazenda Fusão Airport,646,SA,BR,BR-AM,Lábrea,,,SDFF,AM0027,"-9.569238, -67.305229"
BR-0253,heliport,CADF Helipad,4022,SA,BR,BR-DF,Brasília,,,SDFG,DF0009,"-15.836657, -48.084369"
BR-0254,heliport,Lagoa Corporate Heliport,194,SA,BR,BR-MA,São Luís,,,SDFL,MA0055,"-2.499876, -44.307767"
BR-0255,small_airport,Fazenda Varnier Airport,1167,SA,BR,BR-MT,Brasnorte,,,SJVA,SJVA,"-12.99317, -57.41081"
BR-0256,heliport,Praia da Fazenda Heliport,7,SA,BR,BR-RJ,Angra dos Reis,,,SDFN,RJ0036,"-23.047614, -44.350848"
BR-0257,small_airport,Wai Wai Airstrip,,SA,BR,BR-PA,Oriximiná,,,,,"-0.69927, -57.969545"
BR-0258,small_airport,Yanomami Airstrip,,SA,BR,BR-AM,,,,,,"1.617119, -63.65329"
BR-0259,small_airport,Japurá Airport,305,SA,BR,BR-AM,Japurá,,,SDC8,AM0102,"-1.896111, -67.019444"
BR-0260,small_airport,Madiberi Airstrip,,SA,BR,BR-AM,Madiberi,,,,,"-7.279778, -65.192102"
BR-0261,small_airport,Governador José B. Lindoso Airport,538,SA,BR,BR-AM,Ipixuna,,,SD8C,AM0098,"-7.036471, -71.687788"
BR-0262,small_airport,Natal Airstrip,,SA,BR,BR-AC,Natal,,,,,"-9.398827, -72.718563"
BR-0263,small_airport,Pedro Vieira Moreira Airport,1099,SA,BR,BR-PB,Cajazeiras,,CJZ,SJZA,PB0004,"-6.8827, -38.61583"
BR-0264,small_airport,Matheus Lopes Maia da Silva Airport,390,SA,BR,BR-AM,Itamarati,,,SSSM,AM0091,"-6.41454, -68.257845"
BR-0265,heliport,Sapucaí Heliport,269,SA,BR,BR-RJ,Rio de Janeiro,,,SWSS,SWSS,"-22.909722, -43.198333"
BR-0266,small_airport,Savana Airport,574,SA,BR,BR-RO,Jaru,,,SIBN,RO0011,"-10.440823, -62.507014"
BR-0267,small_airport,Irmãos Gonçalves Airport,656,SA,BR,BR-RO,Jaru,,,SIDG,RO0012,"-10.423643, -62.517625"
BR-0268,small_airport,Poxoréo Airstrip,,SA,BR,BR-MT,Poxoréo,,,,,"-15.806366, -54.422609"
BR-0269,small_airport,Fazenda Mutum Airstrip,,SA,BR,BR-MS,Fazenda Mutum,,,,,"-20.494047, -53.287484"
BR-0270,small_airport,Barra Airstrip,,SA,BR,BR-MS,Barra,,,,,"-21.315795, -53.088728"
BR-0271,small_airport,Santa Rita do Pardo Airstrip,,SA,BR,BR-MS,Santa Rita do Pardo,,,,,"-21.272796, -52.853856"
BR-0272,small_airport,Fazenda São João Airstrip,,SA,BR,BR-MS,,,,,,"-21.65328, -52.426395"
BR-0273,small_airport,Fazenda Porto Real Airstrip,,SA,BR,BR-GO,,,,,,"-13.434052, -47.152733"
BR-0274,small_airport,New Arraias Airport,,SA,BR,BR-TO,Arraias,,,,,"-12.967626, -46.857667"
BR-0275,small_airport,Lavandeira Airstrip,,SA,BR,BR-TO,Lavandeira,,,,,"-12.808092, -46.501759"
BR-0276,small_airport,Almas Airstrip,,SA,BR,BR-TO,Almas,,,,,"-11.579887, -47.162158"
BR-0277,small_airport,Pindorama do Tocantins Airstrip,,SA,BR,BR-TO,Pindorama do Tocantins,,,,,"-11.151329, -47.580019"
BR-0278,small_airport,Cotegipe Airstrip,,SA,BR,BR-BA,Cotegipe,,,,,"-12.042221, -44.260973"
BR-0279,small_airport,Wanderley Airstrip,,SA,BR,BR-BA,Wanderley,,,,,"-12.103822, -43.906958"
BR-0280,small_airport,Fazenda Paraíso das Corredeiras Airstrip,,SA,BR,BR-BA,,,,,,"-13.115192, -44.681977"
BR-0281,small_airport,Fazenda Santo Antônio da Serra do Boqueirão Airstrip,1391,SA,BR,BR-BA,Wanderley,,,SDQJ,BA0075,"-11.660292, -43.817836"
BR-0282,small_airport,Fazenda Miragem Airstrip,,SA,BR,BR-BA,Wanderley,,,,,"-11.819883, -43.804469"
BR-0283,small_airport,Morpará Airstrip,,SA,BR,BR-BA,Morpará,,,,,"-11.573253, -43.26358"
BR-0284,small_airport,Fazenda São José Airport,2096,SA,BR,BR-MT,Poxoréo,,,SWJO,SWJO,"-15.433611, -54.440833"
BR-0285,heliport,Cepasa Heliport,299,SA,BR,BR-PE,Jaboatão dos Guararapes,,,SWZU,PE0059,"-8.128333, -35.013056"
BR-0286,heliport,Quick Alameda das Águas Heliport,4199,SA,BR,BR-MG,Nova Lima,,,SDAV,MG0211,"-20.1725, -43.920277"
BR-0287,heliport,Rio Alpha Heliport,495,SA,BR,BR-RJ,Rio de Janeiro,,,SDAZ,RJ0029,"-22.909138, -43.18136"
BR-0288,small_airport,Fazenda Modelo Airstrip,223,SA,BR,BR-PA,Aurora do Pará,,,SDWM,,"-2.265221, -47.594317"
BR-0289,small_airport,Mãe do Rio Airstrip,,SA,BR,BR-PA,Mãe do Rio,,,,,"-2.042421, -47.526413"
BR-0290,small_airport,Quatros Bocas Airport,,SA,BR,BR-PA,Quatros Bocas,,,,,"-2.424256, -48.241523"
BR-0291,small_airport,Fazenda XV de Outubro,810,SA,BR,BR-ES,Colatina,,,SWZH,ES0011,"-19.464338, -40.667485"
BR-0292,heliport,Haras Recanto dos Gypsies Heliport,1736,SA,BR,BR-SP,Porto Feliz,,,SWZF,SP0845,"-23.236696, -47.500403"
BR-0293,heliport,Fronteira Heliport,269,SA,BR,BR-SP,Ilhabela,,,SWZB,SP0844,"-23.767603, -45.348194"
BR-0294,small_airport,Fazenda Ressaca Airport,420,SA,BR,BR-MT,Cáceres,,,SWUR,SWUR,"-16.18861, -57.705555"
BR-0295,closed,Abunã Airstrip,333,SA,BR,BR-RO,Abunã,,,,,"-9.71045, -65.35793"
BR-0296,small_airport,Fazenda Nossa Senhora Aparecida Airport,1358,SA,BR,BR-MT,Nova Ubiratã,,,SIAP,MT0077,"-12.999543, -55.213927"
BR-0297,small_airport,Cidade Eclética Airstrip,3662,SA,BR,BR-GO,Cidade Eclética,,,,,"-15.867516, -48.338193"
BR-0298,closed,Fazenda do Leão,3361,SA,BR,BR-GO,Corumbá de Goiás,,,,,"-15.888598, -48.807736"
BR-0299,small_airport,Itapirapuã Airport,1142,SA,BR,BR-GO,Itapirapuã,,,,,"-15.814734, -50.607237"
BR-0300,closed,Uvá Airstrip,1378,SA,BR,BR-GO,Uvá,,,,,"-15.900328, -50.443026"
BR-0301,small_airport,Fazenda Uvá Airport,1293,SA,BR,BR-GO,Uvá,,,,,"-15.848721, -50.428838"
BR-0302,closed,Jucara Airport,1287,SA,BR,BR-GO,Jussara,,,,,"-15.860782, -50.883648"
BR-0303,closed,Fazenda Santa Helena I Airstrip,1087,SA,BR,BR-GO,Jussara,,,,,"-15.75612, -50.934768"
BR-0304,closed,Bandeirantes Airport,810,SA,BR,BR-GO,São José dos Bandeirantes,,,,,"-13.690586, -50.790833"
BR-0305,closed,Rio Araguaia Southwest Airport,671,SA,BR,BR-TO,,,,,,"-12.224243, -50.636373"
BR-0306,small_airport,Rio Araguaia Northeast airport,675,SA,BR,BR-MT,,,,,,"-12.140605, -50.677037"
BR-0307,small_airport,Gaelo Airport,49,SA,BR,BR-RS,Charqueadas,,,SIRD,RS0067,"-29.975833, -51.620277"
BR-0308,small_airport,Novo Santo Antônio Airport,672,SA,BR,BR-MT,Novo Santo Antônio,,,,,"-12.296635, -50.978455"
BR-0309,heliport,Chopper Solution Heliport,62,SA,BR,BR-CE,Eusébio,,,SDKN,CE0029,"-3.844717, -38.442581"
